"","Day","Hr","ActFrcst","GenFrac","Date"
"1",1,1,1,0,2017-02-17
"2",2,1,1,0.330527144100854,2017-02-18
"3",3,1,1,0.950427525995058,2017-02-19
"4",4,1,1,0.984216174971816,2017-02-20
"5",5,1,1,0.632875251651168,2017-02-21
"6",6,1,1,0.0264639178800778,2017-02-22
"7",7,1,1,0.0492209726275045,2017-02-23
"8",8,1,1,0.000831608481607055,2017-02-24
"9",9,1,1,0.337082807207901,2017-02-25
"10",10,1,1,0.54192725671342,2017-02-26
"11",11,1,1,0.911313475644337,2017-02-27
"12",12,1,1,0.975373863112917,2017-02-28
"13",13,1,1,0.957077983793115,2017-03-01
"14",14,1,1,0.164086731286568,2017-03-02
"15",15,1,1,0.968921070964794,2017-03-03
"16",16,1,1,0.900846198655582,2017-03-04
"17",17,1,1,0.996651100784844,2017-03-05
"18",18,1,1,0,2017-03-06
"19",19,1,1,0.648299328045167,2017-03-07
"20",20,1,1,0.425888354671082,2017-03-08
"21",21,1,1,0.980739647539009,2017-03-09
"22",22,1,1,0,2017-03-10
"23",23,1,1,0.801253169442669,2017-03-11
"24",24,1,1,0.533709656794097,2017-03-12
"25",25,1,1,0.133884647743726,2017-03-13
"26",26,1,1,0.191800982902194,2017-03-14
"27",27,1,1,0.969821824423685,2017-03-15
"28",28,1,1,0.999999999876367,2017-03-16
"29",29,1,1,0.136757782352303,2017-03-17
"30",30,1,1,0.36807266412223,2017-03-18
"31",31,1,1,0.999999999874767,2017-03-19
"32",32,1,1,0.733303844085551,2017-03-20
"33",33,1,1,0.444633324863982,2017-03-21
"34",34,1,1,0.901432664529407,2017-03-22
"35",35,1,1,0.872226415405313,2017-03-23
"36",36,1,1,0.999999999872226,2017-03-24
"37",37,1,1,0.827239937790512,2017-03-25
"38",38,1,1,0.966892843067684,2017-03-26
"39",39,1,1,0.167940714889954,2017-03-27
"40",40,1,1,0.12651715547197,2017-03-28
"41",41,1,1,0.0409567829060201,2017-03-29
"42",42,1,1,0.306010065640274,2017-03-30
"43",43,1,1,0.95587328004169,2017-03-31
"44",44,1,1,0.999727609925516,2017-04-01
"45",45,1,1,0.00877751314137729,2017-04-02
"46",46,1,1,0.999999999867942,2017-04-03
"47",47,1,1,0.625062923143331,2017-04-04
"48",48,1,1,0.94579447405476,2017-04-05
"49",49,1,1,0.43863343879816,2017-04-06
"50",50,1,1,0.825081627225607,2017-04-07
"51",51,1,1,0.303756824791019,2017-04-08
"52",52,1,1,0.243879336138509,2017-04-09
"53",53,1,1,0.606935383316488,2017-04-10
"54",54,1,1,0.965736307309033,2017-04-11
"55",55,1,1,0.999907613768677,2017-04-12
